Year,World Exajoules,Prediction,Difference,% Difference
2001,87.59,84.39773337684701,-3.192266623152989,-3.6445560259766965
2002,90.19,86.25296238189301,-3.9370376181069844,-4.365270670924697
2003,92.71,88.20260037402379,-4.5073996259762055,-4.8618267996723175
2004,96.25,90.26022231680246,-5.989777683197545,-6.223145644880566
2005,98.87,92.71861478025258,-6.151385219747425,-6.221690320367578
2006,101.43,95.1081699510537,-6.32183004894631,-6.232702404561087
2007,105.57,97.75211708653795,-7.817882913462043,-7.405402020898023
2008,108.09,101.56095462455161,-6.529045375448391,-6.040378735727995
2009,105.88,104.459707533238,-1.4202924667619925,-1.341417138989415
2010,113.78,103.22672279958782,-10.553277200412182,-9.275160133953403
